,ASIN,Dataset,new_filename,Category,Title,Remove
15,1560976322,Train,201,Comics & Graphic Novels,The Complete Peanuts 1950-1954 Box Set,1
43,147508770,Train,202,"Mystery, Thriller & Suspense",The Walt Longmire Mystery Series Boxed Set Volumes 1-4 (Walt Longmire Mysteries),1
75,1629630357,Train,203,Science Fiction & Fantasy,Sisters of the Revolution: A Feminist Speculative Fiction Anthology,0
99,393913015,Train,204,Literature & Fiction,"The Norton Anthology of English Literature (Ninth Edition)  (Vol. Package 2: D, E, F)",0
115,631217274,Train,205,Literature & Fiction,Medieval Drama: An Anthology,0
122,1474410790,Train,206,Literature & Fiction,An Anthology of Arabic Literature: From the Classical to the Modern,0
3,1449433251,Train,207,Comics & Graphic Novels,The Complete Calvin and Hobbes [BOX SET],0
79,B00CD8KOTE,Train,208,Romance,"Try Me, Tempt Me, Take Me: One Night with Sole Regret Anthology Series #1",0
8,941423646,Train,209,Comics & Graphic Novels,The New American Splendor Anthology: From Off the Streets of Cleveland,0
171,1401919162,Train,210,Self-Help,The Teachings of Abraham Book Collection: Hardcover Boxed Set,1
80,150871892X,Train,211,Romance,For the Night: Complete Box Set,0
73,618391134,Train,212,Science Fiction & Fantasy,J.R.R. Tolkien Companion and Guide (Two Volume Box Set),0
94,486296040,Train,213,Literature & Fiction,"African-American Poetry: An Anthology, 1773-1927 (Dover Thrift Editions)",0
118,1416531742,Train,214,Literature & Fiction,Touchstone Anthology of Contemporary Creative Nonfiction: Work from 1970 to the Present,0
89,1119024935,Train,215,Humor & Entertainment,"Minecraft For Dummies Collection, 3-Book Bundle",1
261,553509810,Train,216,Children's Books,Junie B. Jones Complete First Grade Collection: Books 18-28 with paper dolls in boxed set,1
257,1421577771,Train,217,Children's Books,Pokemon Adventures Diamond & Pearl / Platinum Box Set,1
106,039392341X,Train,218,Literature & Fiction,The Norton Anthology of Drama (Second Edition)  (Vol. 1 & 2),1
60,147517389,Train,219,Science Fiction & Fantasy,The Magicians Trilogy Box Set,1
207,1111305447,Train,220,Politics & Social Sciences,Philosophy of Religion: An Anthology,0
142,1517421675,Train,221,"Cookbooks, Food & Wine","Raw Food Diet Bundle: Raw Food Diet 101, Breakfast Recipes, Lunch Recipes and Dinner Recipes. Plus BONUS Spiralizer with a Twist Cookbook",0
24,1421580810,Train,222,Comics & Graphic Novels,Bleach Box Set 2: Volumes 22-48 with Premium,1
36,71834737,Train,223,Test Preparation,PHR/SPHR Professional in Human Resources Certification Bundle (All-in-One),1
214,571191657,Train,224,Reference,The Art of Prayer: An Orthodox Anthology,0
202,020563947X,Train,225,Politics & Social Sciences,"Philosophical Problems: An Annotated Anthology, Reprint (2nd Edition)",0
102,393912515,Train,226,Literature & Fiction,The Norton Anthology of English Literature (Ninth Edition)  (Vol. C),0
248,761184570,Train,227,Children's Books,How to Tell a Story: 1 Book + 20 Story Blocks = A Million Adventures,0
138,861714911,Train,228,Literature & Fiction,In the Buddha's Words: An Anthology of Discourses from the Pali Canon (Teachings of the Buddha),0
54,451211243,Train,229,Science Fiction & Fantasy,The Dark Tower Boxed Set (Books 1-4),1
218,9081709178,Train,230,Reference,An Anthology of Asemic Handwriting,0
174,321418700,Train,231,Computers & Technology,"Software Security Library Boxed Set, First Edition",1
